172;28/08/2021 21:00;PAL;2;1;CAP;17
173;28/08/2021 19:00;SAN;0;4;FLA;5
174;29/08/2021 11:00;AMG;2;0;CEA;15
175;28/08/2021 21:00;GRE;0;1;COR;13
176;30/08/2021 21:30;FOR;0;0;CEC;7
177;28/08/2021 17:00;SPT;0;0;CHA;19
178;29/08/2021 20:30;BRA;1;1;CAM;14
179;29/08/2021 16:00;ECJ;1;1;SAO;18
180;29/08/2021 18:15;ACG;0;0;INT;12
181;05/11/2021 21:30;FLA;2;0;ACG;6
182;07/09/2021 21:30;COR;1;1;ECJ;8
183;22/09/2021 20:30;SAO;0;0;AMG;3
184;03/11/2021 21:00;CAM;2;1;GRE;4
185;21/10/2021 20:00;INT;1;1;BRA;11
186;20/10/2021 19:00;CEA;1;2;PAL;7
187;04/09/2021 21:00;BAH;4;2;FOR;2
188;05/09/2021 18:15;CAP;0;0;SPT;9
189;05/09/2021 21:30;CHA;1;2;FLU;10
190;04/09/2021 21:00;CEC;2;1;SAN;1
191;12/09/2021 20:30;FLU;2;1;SAO;6
192;12/09/2021 16:00;PAL;1;3;FLA;17
193;11/09/2021 21:00;SAN;0;0;BAH;5
194;11/09/2021 16:00;AMG;2;0;CAP;15
195;12/09/2021 11:00;GRE;2;0;CEA;13
196;12/09/2021 16:00;FOR;0;2;CAM;7
197;13/09/2021 20:00;SPT;0;1;INT;19
198;11/09/2021 19:00;BRA;1;2;CHA;14
199;11/09/2021 17:00;ECJ;1;2;CEC;18
200;12/09/2021 18:15;ACG;1;1;COR;12
201;19/09/2021 20:30;FLA;0;1;GRE;6
202;19/09/2021 18:15;COR;1;1;AMG;8
203;19/09/2021 16:00;SAO;2;1;ACG;3
204;18/09/2021 19:00;CAM;3;0;SPT;4
205;19/09/2021 11:00;INT;1;0;FOR;11
206;18/09/2021 21:00;CEA;0;0;SAN;7
207;18/09/2021 21:00;BAH;1;1;BRA;21
208;18/09/2021 18:45;CAP;2;1;ECJ;9
209;18/09/2021 17:00;CHA;0;2;PAL;10
210;20/09/2021 20:00;CEC;2;2;FLU;1
211;26/09/2021 16:00;FLU;2;1;BRA;6
212;25/09/2021 19:00;COR;2;1;PAL;8
213;25/09/2021 21:00;SAO;0;0;CAM;3
214;26/09/2021 11:00;AMG;1;1;FLA;15
215;26/09/2021 16:00;INT;2;0;BAH;11
216;25/09/2021 17:00;CEA;1;0;CHA;7
217;26/09/2021 18:15;SPT;0;1;FOR;22
218;26/09/2021 18:15;CAP;4;2;GRE;9
219;26/09/2021 16:00;ECJ;3;0;SAN;18
220;26/09/2021 20:30;ACG;0;0;CEC;12
221;03/10/2021 16:00;FLA;3;0;CAP;6
222;03/10/2021 18:15;PAL;1;1;ECJ;17
223;27/10/2021 19:00;SAN;2;0;FLU;5
224;02/10/2021 21:00;CAM;1;0;INT;4
225;03/10/2021 20:30;GRE;1;2;SPT;13
226;02/10/2021 17:00;FOR;0;3;ACG;7
227;27/10/2021 19:00;BAH;1;1;CEA;21
228;02/10/2021 19:00;BRA;2;2;COR;14
229;03/10/2021 16:00;CHA;1;1;SAO;10
230;02/10/2021 17:00;CEC;0;2;AMG;1
231;06/10/2021 21:30;FLU;0;2;FOR;6
232;05/10/2021 21:30;COR;3;1;BAH;8
233;07/10/2021 18:30;SAO;1;1;SAN;3
234;06/10/2021 21:30;AMG;2;1;PAL;15	
235;06/10/2021 21:30;GRE;2;2;CEC;13
236;06/10/2021 19:00;CEA;0;0;INT;7
237;06/10/2021 19:00;SPT;3;1;ECJ;22
238;06/10/2021 20:30;BRA;1;1;FLA;14
239;06/10/2021 19:00;CHA;2;2;CAM;10
240;06/10/2021 19:00;ACG;0;2;CAP;12
241;09/10/2021 16:30;FLU;0;0;ACG;6
242;09/10/2021 21:00;PAL;2;4;BRA;17
243;10/10/2021 16:00;SAN;1;0;GRE;5
244;09/10/2021 16:30;CAM;3;1;CEA;4
245;10/10/2021 11:00;INT;5;2;CHA;11
246;09/10/2021 19:00;FOR;0;3;FLA;7
247;09/10/2021 16:30;SPT;1;0;COR;22
248;09/10/2021 19:00;CAP;0;2;BAH;9
249;09/10/2021 21:00;ECJ;1;1;AMG;18
250;11/10/2021 20:00;CEC;0;0;SAO;1
251;13/10/2021 19:00;FLA;3;1;ECJ;6
252;13/10/2021 21:00;COR;1;0;FLU;8
253;14/10/2021 19:00;SAO;1;1;CEA;3
254;13/10/2021 19:00;CAM;3;1;SAN;4
255;13/10/2021 21:30;INT;3;1;AMG;11
256;13/10/2021 20:30;FOR;1;0;GRE;7
257;12/10/2021 21:30;BAH;0;0;PAL;21
258;12/10/2021 19:00;BRA;1;0;ACG;14
259;13/10/2021 19:00;CHA;1;1;CAP;10
260;14/10/2021 19:00;CEC;1;0;SPT;1
261;17/10/2021 20:30;FLA;0;0;CEC;6
262;17/10/2021 16:00;PAL;1;0;INT;17
263;18/10/2021 20:00;SAO;1;0;COR;3
264;16/10/2021 21:00;AMG;0;0;BAH;15
265;17/10/2021 18:15;GRE;3;2;ECJ;13
266;17/10/2021 18:15;CEA;2;2;BRA;7
267;17/10/2021 20:30;SPT;0;0;SAN;22
268;17/10/2021 16:00;CAP;0;1;FLU;9
269;16/10/2021 19:00;CHA;1;2;FOR;10
270;17/10/2021 18:15;ACG;2;1;CAM;12
271;23/10/2021 19:00;FLU;3;1;FLA;6
272;25/10/2021 21:30;PAL;2;1;SPT;17
273;23/10/2021 17:00;SAN;0;2;AMG;5
274;24/10/2021 16:00;CAM;2;1;CEC;4
275;24/10/2021 16:00;INT;2;2;COR;11
276;23/10/2021 19:15;FOR;3;0;CAP;7
277;24/10/2021 20:30;BAH;3;0;CHA;21
278;24/10/2021 18:15;BRA;1;0;SAO;14
279;23/10/2021 17:00;ECJ;0;0;CEA;18
280;25/10/2021 20:00;ACG;2;0;GRE;12
281;30/10/2021 19:00;FLA;1;0;CAM;6
282;01/11/2021 21:30;COR;1;0;CHA;8
283;31/10/2021 18:15;SAO;1;0;INT;3
284;30/10/2021 21:00;AMG;2;1;FOR;15
285;31/10/2021 16:00;GRE;1;3;PAL;13
286;31/10/2021 16:00;CEA;1;0;FLU;7
287;31/10/2021 20:30;SPT;2;0;ACG;22
288;30/10/2021 17:00;CAP;0;1;SAN;9
289;30/10/2021 19:15;ECJ;0;0;BAH;18
290;01/11/2021 20:00;CEC;1;0;BRA;1
291;06/11/2021 21:00;FLU;1;0;SPT;6
292;06/11/2021 17:00;COR;1;0;FOR;8
293;07/11/2021 16:00;SAN;0;2;PAL;5
294;07/11/2021 16:00;CAM;1;0;AMG;4
295;06/11/2021 19:00;INT;1;0;GRE;11
296;07/11/2021 20:30;CEA;1;0;CEC;7
297;07/11/2021 18:15;BAH;1;0;SAO;21
298;07/11/2021 16:00;BRA;0;2;CAP;14
299;08/11/2021 20:00;CHA;2;2;FLA;10
300;23/11/2021 19:00;ACG;*;*;ECJ;12
301;11/11/2021 19:00;FLA;*;*;BAH;6
302;10/11/2021 20:30;PAL;4;0;ACG;17
303;10/11/2021 19:00;SAN;2;0;BRA;5
304;10/11/2021 19:00;CAM;3;0;COR;4
305;09/11/2021 21:30;GRE;1;0;FLU;13
306;10/11/2021 21:30;FOR;1;1;SAO;7
307;10/11/2021 21:30;SPT;2;3;AMG;22
308;10/11/2021 18:30;CAP;2;1;CEA;9
309;10/11/2021 21:30;ECJ;2;1;INT;18
310;04/11/2021 21:00;CEC;0;0;CHA;1
311;* *;FLU;*;*;PAL;6
312;* *;COR;*;*;CEC;8
313;* *;SAO;*;*;FLA;3
314;* *;AMG;*;*;GRE;15
315;* *;INT;*;*;CAP;11
316;* *;CEA;*;*;SPT;7
317;* *;BAH;*;*;CAM;21
318;* *;BRA;*;*;FOR;14
319;* *;CHA;*;*;ECJ;10
320;* *;ACG;*;*;SAN;12
321;* *;FLA;*;*;COR;6
322;* *;PAL;*;*;SAO;17
323;* *;SAN;*;*;CHA;5
324;* *;AMG;*;*;ACG;15
325;* *;GRE;*;*;BRA;13
326;* *;FOR;*;*;CEA;7
327;* *;SPT;*;*;BAH;22
328;* *;CAP;*;*;CAM;9
329;* *;ECJ;*;*;FLU;18
330;* *;CEC;*;*;INT;1
331;* *;FLU;*;*;AMG;6
332;* *;COR;*;*;SAN;8
333;* *;SAO;*;*;CAP;3
334;* *;CAM;*;*;ECJ;4
335;* *;INT;*;*;FLA;11
336;* *;FOR;*;*;PAL;7
337;* *;BAH;*;*;CEC;21
338;28/10/2021 19:00;BRA;3;0;SPT;14
339;* *;CHA;*;*;GRE;10
340;* *;ACG;*;*;CEA;12
341;* *;FLU;*;*;INT;6
342;* *;PAL;*;*;CAM;17
343;* *;SAN;*;*;FOR;5
344;* *;AMG;*;*;CHA;15
345;* *;GRE;*;*;SAO;13
346;* *;CEA;*;*;COR;7
347;* *;SPT;*;*;FLA;22
348;* *;CAP;*;*;CEC;9
349;* *;ECJ;*;*;BRA;18
350;* *;ACG;*;*;BAH;12
351;* *;FLA;*;*;CEA;6
352;* *;COR;*;*;CAP;8
353;* *;SAO;*;*;SPT;3
354;* *;CAM;*;*;FLU;4
355;* *;INT;*;*;SAN;11
356;* *;FOR;*;*;ECJ;7
357;* *;BAH;*;*;GRE;21
358;* *;BRA;*;*;AMG;14
359;* *;CHA;*;*;ACG;10
360;* *;CEC;*;*;PAL;1
361;* *;FLA;*;*;SAN;6
362;* *;COR;*;*;GRE;8
363;* *;SAO;*;*;ECJ;3
364;* *;CAM;*;*;BRA;4
365;* *;INT;*;*;ACG;11
366;* *;CEA;*;*;AMG;7
367;* *;BAH;*;*;FLU;21
368;* *;CAP;*;*;PAL;9
369;* *;CHA;*;*;SPT;10
370;* *;CEC;*;*;FOR;1
371;* *;FLU;*;*;CHA;6
372;* *;PAL;*;*;CEA;17
373;* *;SAN;*;*;CEC;5
374;* *;AMG;*;*;SAO;15
375;* *;GRE;*;*;CAM;13
376;* *;FOR;*;*;BAH;7
377;* *;SPT;*;*;CAP;22
378;* *;BRA;*;*;INT;14
379;* *;ECJ;*;*;COR;18
380;* *;ACG;*;*;FLA;12
